	Liv1a	Liv1b	Liv1c	Liv2	LN1	LN2	LN3	LN4	LN5a	LN5b	LN6	Normal1	Per1	Per10	Per11	Per12	Per13	Per14a	Per14b	Per14c	Per15a	Per15b	Per15c	Per16a	Per16b	Per16c	Per2	Per3	Per4a	Per4b	Per5	Per6	Per7	Per8	Per9	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Per15a	0.541747322247924	0.570540126904664	0.410552553386537	0.45398378414815	0.37457363505997	0.458456995580673	0.552463009208255	0.479195038766587	0.324809298926647	0.323064751298217	0.365977916163442	1.0471975511966	0.453452315134492	0.334848235975679	0.286342974224379	0.323071345928268	0.319607004536155	1.14036129941783	0.400525203659788	0.772786941093682	0	0.393627015103354	0.339436476875039	0.561779589648571	0.423256893038323	0.558935542255399	0.311690252584215	0.321637316240527	0.382467057635772	0.322313279740879	0.399434969857773	0.366434924166994	0.567547902013945	0.420940133870065	0.298339943910575	0.415132014203908	0.604520151552537	0.443530116782688	0.610688913280784	0.303723874515212	0.354001637483518	0.472729632857048	0.451988107678169	0.426320727782167	0.518979015533999
Per15b	0.56396753753414	0.622515505624117	0.532127089650446	0.48521711666341	0.337124662075045	0.490557958377942	0.450216367276158	0.454196387305461	0.375623275438011	0.452754745749225	0.360757881304034	1.0471975511966	0.460909886164937	0.40281217109098	0.425216082357394	0.48224374291851	0.388644816967457	1.09436866013156	0.544665253503578	0.817411725470876	0.393627015103354	0	0.197755041620165	0.461102382249269	0.318259253087141	0.505015937792382	0.39776914158869	0.385480559303445	0.290340327631361	0.406537973870759	0.487249947177005	0.469963817471605	0.665795680949685	0.425086307495579	0.46687745345585	0.404066557008565	0.699731320004915	0.518908900669134	0.58323796620468	0.353954529160399	0.406155070375499	0.43700224975785	0.469991536060811	0.494080483145904	0.621142892555782
Per15c	0.580097670263953	0.638310518049651	0.506642998414418	0.395250131891784	0.394912818539332	0.505270500057602	0.500640117260462	0.492816819953321	0.404133211213986	0.479143146228189	0.393859347268259	1.0471975511966	0.529443012737411	0.377273018061075	0.41884204625619	0.420635783818036	0.376737236684631	1.08606111306713	0.499610866016113	0.796050468665265	0.339436476875039	0.197755041620165	0	0.408482382257948	0.300464860079795	0.451588070798708	0.411779703554723	0.376755606989978	0.303920115198174	0.420931994393488	0.444447097803259	0.489537895842938	0.664069363993416	0.430672883985499	0.469460704103294	0.416982834727325	0.730678369922998	0.495769986575657	0.601040388111799	0.354756860340908	0.399213518197372	0.466084333698462	0.504851146447871	0.450580617730744	0.588888249554616
Per16a	0.723248008765358	0.792989672294779	0.635304865044487	0.29804336044265	0.605054538356618	0.701244759769751	0.635719638861581	0.721362935980951	0.653550812092703	0.620247167835607	0.580426756256301	1.0471975511966	0.668262556370537	0.578548849761619	0.586086398281057	0.67726762852001	0.394519879600011	0.744111342971576	0.581313475780551	0.558107291675659	0.561779589648571	0.461102382249269	0.408482382257948	0	0.276700997194695	0.293575348178679	0.537361867767622	0.547107369701236	0.448766491074382	0.552996915071907	0.422607846211313	0.589865777241029	0.812058491885722	0.674435086315871	0.585405324271218	0.657218984918738	0.925935805375376	0.719665022272373	0.722528940279047	0.604511838706783	0.638162547754981	0.674425774878662	0.692234702509519	0.703647531012876	0.750262186513144
Per16b	0.625660037510602	0.696434481319015	0.557748789692521	0.387723799015165	0.447239457704804	0.553287060516519	0.527441765616292	0.586719283561027	0.478112512275152	0.471938760475403	0.417264390410247	1.0471975511966	0.528167180581841	0.465033984209531	0.463648372302045	0.574591358177156	0.330182547664865	0.898926417335152	0.539545498181765	0.67234242380983	0.423256893038323	0.318259253087141	0.300464860079795	0.276700997194695	0	0.374592203981073	0.408039902790576	0.400748007397098	0.304801525809074	0.403245590748945	0.334053661861578	0.488345443001748	0.699103335681913	0.540299092125194	0.460754661232635	0.530426745916397	0.784416733212661	0.63476546503871	0.631163852846406	0.454157935249009	0.497284003666906	0.556619709190953	0.556423300615061	0.59147835265868	0.633732539062267
Per16c	0.688892794458983	0.754961177726091	0.65909713673169	0.350692591395363	0.565112532083952	0.571080467196981	0.573889043526016	0.65631941065019	0.61977466812904	0.602152712270945	0.537055926620728	1.0471975511966	0.654357361440267	0.551378504884162	0.617121825059944	0.673163724200686	0.45113696845407	0.77437505806648	0.667648695141607	0.583198951458996	0.558935542255399	0.505015937792382	0.451588070798708	0.293575348178679	0.374592203981073	0	0.545385283056969	0.546768995203568	0.529385120038617	0.58272458123809	0.483658846250809	0.625993711753783	0.890233949812349	0.618389722873241	0.579970198339389	0.609180222806645	0.856459917528724	0.644396056114501	0.660805864033863	0.601054355433345	0.626304888095934	0.620401417253733	0.684293888926044	0.595275483815484	0.705473024048266
Per2	0.448058292868168	0.473029896349037	0.370117582324532	0.520378193304853	0.309466983531258	0.429086950717033	0.46430583071072	0.408160861813556	0.272264634439719	0.233074401160776	0.28648209731564	1.0471975511966	0.318229179507907	0.269713059318091	0.191356672762394	0.350958392784968	0.331784224982323	1.01982360433957	0.386133608625018	0.685458920058116	0.311690252584215	0.39776914158869	0.411779703554723	0.537361867767622	0.408039902790576	0.545385283056969	0	0.232273277376483	0.277314852915415	0.188609787672369	0.36426886613543	0.256798058591773	0.556533935784047	0.386236263509257	0.206298582191225	0.324974032280521	0.475790635686726	0.414774616041199	0.43237120149256	0.261441800718175	0.28116938966323	0.414548681893153	0.317895434649099	0.436559070174555	0.424051848636547
Per3	0.394489081597728	0.426158126372109	0.372761461658769	0.522488864775298	0.208608983178165	0.357955518936697	0.469002767310981	0.373501461367985	0.211531905192044	0.240265794135948	0.195053517921191	1.0471975511966	0.276742954028344	0.188764621720379	0.278042286464121	0.30604125159024	0.37379514985001	1.07901662949253	0.452097291527412	0.757005081033361	0.321637316240527	0.385480559303445	0.376755606989978	0.547107369701236	0.400748007397098	0.546768995203568	0.232273277376483	0	0.223612436347011	0.230231983722785	0.39397651889009	0.302874074828486	0.60995822588106	0.265022941598744	0.239518268538201	0.282540739010055	0.529922552953525	0.354118844142241	0.464978834209748	0.193454645671561	0.181456574684336	0.381272039619109	0.343214463948495	0.389201343881426	0.492872552715751
Per4a	0.474475346561852	0.522601314895276	0.432587124475108	0.497797628347726	0.280298188929352	0.468738691340823	0.451723805309665	0.438332758577134	0.320077681078846	0.37407010704908	0.288426666011016	1.0471975511966	0.352232700305684	0.29312574589892	0.326204007498402	0.41093485599852	0.336834824151271	1.01800548240709	0.445170796959065	0.741771916993163	0.382467057635772	0.290340327631361	0.303920115198174	0.448766491074382	0.304801525809074	0.529385120038617	0.277314852915415	0.223612436347011	0	0.25537278433744	0.34189015494703	0.357665006542924	0.591691120089926	0.377361470436453	0.355264880809889	0.35073378089706	0.619279529268827	0.460782048075352	0.499746897274907	0.262512758784592	0.295874275942427	0.429799368247804	0.393113333761044	0.492830383077799	0.536716737155711
Per4b	0.483703041254957	0.481676067654819	0.403665995742207	0.529781062804781	0.315978276990733	0.455439107334282	0.514805379666094	0.437417578193315	0.296702405394659	0.278396543348395	0.297740385233405	1.0471975511966	0.312420582250447	0.270120515057733	0.229061250711692	0.374835041762972	0.331136817406504	1.0335229683336	0.361616220800533	0.703769483037484	0.322313279740879	0.406537973870759	0.420931994393488	0.552996915071907	0.403245590748945	0.58272458123809	0.188609787672369	0.230231983722785	0.25537278433744	0	0.364855939796573	0.235191300415575	0.502320989784175	0.399426198392219	0.233404264839831	0.340284580241818	0.464233420146929	0.432021956091159	0.462242405116249	0.248504243338297	0.290439492809952	0.437774381766076	0.32341107305568	0.472455821499194	0.441423222266224
Per5	0.595361829624221	0.633637107063503	0.492331809685143	0.445923575699979	0.479306302285915	0.551978215263729	0.568316144649278	0.593127814120347	0.473564481626288	0.454544630583046	0.437963484863092	1.0471975511966	0.504048483581154	0.439565284264756	0.391466152071952	0.546877267533332	0.291268579029737	0.890409748622135	0.432149340889646	0.585455924525603	0.399434969857773	0.487249947177005	0.444447097803259	0.422607846211313	0.334053661861578	0.483658846250809	0.36426886613543	0.39397651889009	0.34189015494703	0.364855939796573	0	0.457402497438356	0.635002238840612	0.556537415486578	0.402501141360865	0.517878398596643	0.720252616830651	0.589514181904626	0.650915790976214	0.463240560246633	0.476099510358565	0.577046896054669	0.53740023342453	0.61103099187226	0.593246337005615
Per6	0.467413246180368	0.438752647294304	0.38360232036441	0.555732902210948	0.388599633486272	0.490092989284108	0.576485965773106	0.479658756658816	0.322681425095866	0.302044532903151	0.35930148612813	1.0471975511966	0.348218174405871	0.345139030658179	0.270360013918934	0.377453802218648	0.383103573196221	1.0354158345692	0.376051559323197	0.681679975952406	0.366434924166994	0.469963817471605	0.489537895842938	0.589865777241029	0.488345443001748	0.625993711753783	0.256798058591773	0.302874074828486	0.357665006542924	0.235191300415575	0.457402497438356	0	0.537468442864662	0.403453528667937	0.234275489151931	0.382068628923693	0.506379703291677	0.420132174312168	0.495502736148158	0.335116132371344	0.350890004987469	0.422141908130228	0.322502655518127	0.499493781640895	0.470503020400092
Per7	0.772274566384691	0.759954871130468	0.639408456415869	0.770504650520585	0.660791946400223	0.741325034353055	0.781248351753876	0.655897898516984	0.588204075974296	0.620817874900571	0.640556877146583	1.0471975511966	0.661886905450905	0.554885611865684	0.481245865642495	0.529615234331869	0.576861116575329	1.21514256327295	0.531075902147083	0.869334790957289	0.567547902013945	0.665795680949685	0.664069363993416	0.812058491885722	0.699103335681913	0.890233949812349	0.556533935784047	0.60995822588106	0.591691120089926	0.502320989784175	0.635002238840612	0.537468442864662	0	0.701693645939897	0.582281823523781	0.640328776591783	0.693597890145624	0.71008739803951	0.81663672670309	0.528929483379362	0.575247252441239	0.756682121702999	0.637348928666093	0.772360443221685	0.68489846082866
Per8	0.30609220105029	0.346462451850056	0.409687425387386	0.651236933019011	0.22978924278438	0.279390261268294	0.436601990825019	0.26540064731097	0.223866439442879	0.383395210664915	0.236363373022942	1.0471975511966	0.301201804737598	0.254520673298128	0.433508579974966	0.32238767261886	0.536042304526414	1.20134481473644	0.61007132894172	0.897801981173797	0.420940133870065	0.425086307495579	0.430672883985499	0.674435086315871	0.540299092125194	0.618389722873241	0.386236263509257	0.265022941598744	0.377361470436453	0.399426198392219	0.556537415486578	0.403453528667937	0.701693645939897	0	0.373764906643635	0.17908216959889	0.518826137932433	0.252607963839253	0.452132289170214	0.25312442417922	0.219210881971094	0.245048813048099	0.341231467812996	0.293023974671164	0.551837806397109
