	LN1	LN2	LN3	LN4	LN5	LN6	LN7	LN8	Normal1	Per1	Per10	Per11	Per12	Per13	Per14	Per15	Per16	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1	TD2	TD3
Per5	0.995403938728645	0.76001868132834	0.245557687232851	0.865348735299335	0.91074007287356	0.360036766328786	0.841238542683786	0.262272642759839	1.0471975511966	0.413797732683568	0.176307837828175	0.509518733211858	0.364177516285756	0.425540190263437	0.880342026469095	0.483840264745648	0.494562731041997	0.933685284185698	0.446573940157131	0.417629064496513	0	0.493058387274137	0.478801181072491	0.659151724650685	0.358183931433622	0.567170592607002	0.702774518345987	0.42538278332154	1.21823282052617	0.277813307624037	0.692536236916168	0.48867131972326	0.417518849831963	0.391743554536231	0.368785013126444	0.316129309452406
Per6	1.28123924146778	0.86477165921289	0.586108710658263	1.15732630526835	1.22684648028278	0.508810376316294	1.0405527830741	0.465461943815645	1.0471975511966	0.359783021120101	0.51155610061115	0.452287538836881	0.355641073229667	0.404050223505924	0.610340935475159	0.361164619461993	0.328932535990227	0.696020852298707	0.443669172491227	0.340528336052893	0.493058387274137	0	0.269924452352018	0.411047073308688	0.365705648019068	0.446804323074663	0.470872691926622	0.299653681302601	1.32482125221786	0.525749150038821	0.475182545959859	0.379590970493024	0.357169330294553	0.445105589544795	0.563180789097343	0.470921829092606
Per7	1.31485607079236	0.921699642542289	0.601244540781155	1.18989002320129	1.23797756510903	0.52213596608355	1.10560158326569	0.483969147922384	1.0471975511966	0.414285542180018	0.497785317960745	0.467064706648118	0.392353058596347	0.423970843851129	0.567039823732624	0.364159835987891	0.438020379366961	0.717778457860802	0.464027186178221	0.421210063324778	0.478801181072491	0.269924452352018	0	0.445718283257862	0.404047004772431	0.398072543917037	0.402810281961893	0.272129381677504	1.41619216172706	0.562403112704549	0.41757265067347	0.290144222666384	0.473055584327878	0.524671603994693	0.517090967215712	0.479223427021197
Per8	1.3958864196088	0.937058018037972	0.744908359987424	1.24036211341805	1.36215215052647	0.733366985178948	1.13426658769491	0.623239123948221	1.0471975511966	0.475640836472184	0.696450422858262	0.566722224310582	0.61279533533312	0.608240330368594	0.339948667062292	0.439911209474772	0.451568104170982	0.414618627419564	0.666053116666744	0.512764059218129	0.659151724650685	0.411047073308688	0.445718283257862	0	0.574000293022743	0.494073078706234	0.437312334744357	0.46936632214416	1.38299251316124	0.72557931440634	0.415521579073289	0.404876586654717	0.574334976760508	0.657545856891033	0.644574790309323	0.645047185002005
Per9	1.226298037889	0.824969400064502	0.453657152715072	1.08766982217636	1.15359189976787	0.491443655900791	0.999092190254866	0.368013322402351	1.0471975511966	0.257529141114092	0.410351958337032	0.453722523539852	0.311340348484894	0.336576903753472	0.770819618504798	0.374123255212702	0.357975636043638	0.812190081710138	0.32278076420109	0.33922848998765	0.358183931433622	0.365705648019068	0.404047004772431	0.574000293022743	0	0.411402491118157	0.590038402074848	0.373214282917058	1.31299921723504	0.447669644679936	0.579639751029132	0.462235486668371	0.361387199158227	0.376156344745873	0.36928131425587	0.355135642860581
PT1	1.40686526996351	1.00951643481373	0.684779470580934	1.26502101479168	1.32753564610877	0.668904188409792	1.16501963213329	0.588291969337707	1.0471975511966	0.424636695366794	0.602574827134356	0.597117891402272	0.574672570118033	0.523526009894063	0.601016484412136	0.293964936094208	0.4857499931315	0.672776245386783	0.464918588999568	0.552465215176439	0.567170592607002	0.446804323074663	0.398072543917037	0.494073078706234	0.411402491118157	0	0.322272101599021	0.348212818493283	1.48602704546684	0.657234812399308	0.322594806994947	0.326591631654864	0.547860635482669	0.578429998094241	0.471758892507639	0.518538704396765
PT2	1.47320609759473	1.08689679377236	0.821455305100734	1.33383252266406	1.40485348481569	0.779015158240364	1.23507456073847	0.707274345709408	1.0471975511966	0.550602063502652	0.732233020396295	0.662234394018243	0.678426253565263	0.629587101015287	0.431759982633629	0.40821799678947	0.574592245562763	0.610615782738276	0.627240618414427	0.642424255014726	0.702774518345987	0.470872691926622	0.402810281961893	0.437312334744357	0.590038402074848	0.322272101599021	0	0.406869242255076	1.5340709824264	0.768520230604295	0.216387725706158	0.343989517956742	0.62992501551367	0.692201345788736	0.669544339633	0.671387211081661
PT3	1.29968917285565	0.970841400578048	0.552893729578475	1.17281076129621	1.2434807219491	0.474535595453295	1.069445466058	0.451082767741769	1.0471975511966	0.392281128831719	0.482009084660305	0.500164106978636	0.421891006866679	0.434626984801333	0.62086842293059	0.254657277626778	0.442857665951149	0.720352396232259	0.399302877475472	0.472819311847787	0.42538278332154	0.299653681302601	0.272129381677504	0.46936632214416	0.373214282917058	0.348212818493283	0.406869242255076	0	1.46290942229143	0.512951782892756	0.431209294236744	0.217961661375387	0.437870618932386	0.480270118722281	0.45550090902873	0.466542444226043
PT4	0.852588187237408	0.754623810604133	1.18013440218213	0.872204438987917	0.86548586914189	1.30186047417608	0.967144928421021	1.1850122738224	1.0471975511966	1.32048579098521	1.16767696254932	1.17829795482733	1.26622796750689	1.3170090748898	1.51256925138623	1.48076273624872	1.17639120929487	1.43069507051415	1.37304382015279	1.15270245760148	1.21823282052617	1.32482125221786	1.41619216172706	1.38299251316124	1.31299921723504	1.48602704546684	1.5340709824264	1.46290942229143	0	1.1113964732254	1.51542095909334	1.52129367910878	1.23178841965203	1.22260728107388	1.34742524865823	1.18275634687973
PT5	0.895495780266113	0.707839056016384	0.250489219811705	0.782329136797127	0.831957608303798	0.433453226068952	0.773070430121496	0.3264079626256	1.0471975511966	0.518651123171543	0.215201215999368	0.540841798413922	0.413311797712893	0.478640626511707	0.929858560990275	0.602258383610067	0.531106296312995	0.956917667712467	0.47827733077355	0.409575664186561	0.277813307624037	0.525749150038821	0.562403112704549	0.72557931440634	0.447669644679936	0.657234812399308	0.768520230604295	0.512951782892756	1.1113964732254	0	0.774007506629285	0.610075335424066	0.422914836603949	0.419534694062873	0.469562805130319	0.314640042260657
PT6	1.4520043156442	1.05381443365029	0.789281515606477	1.30548733247219	1.37661933336743	0.741787795012632	1.18815960746876	0.683889455504213	1.0471975511966	0.532304218538403	0.723216017739587	0.634499415469985	0.657206416462374	0.629151569725417	0.437650841858733	0.438430472286268	0.558282423815742	0.593901539042942	0.627680722508868	0.633337104581364	0.692536236916168	0.475182545959859	0.41757265067347	0.415521579073289	0.579639751029132	0.322594806994947	0.216387725706158	0.431209294236744	1.51542095909334	0.774007506629285	0	0.374112581450336	0.597561770365274	0.677650196039751	0.670736501687237	0.656305979464761
PT7	1.36998296587119	1.01930247737962	0.617793798400543	1.2284915258773	1.29733711553838	0.559924768437693	1.13870454396089	0.532891611262926	1.0471975511966	0.455925012551296	0.552690457913669	0.57248844665134	0.527302079922057	0.518387621777131	0.530990776809378	0.274983690747509	0.520245794671787	0.6700240404893	0.499390054370498	0.547335157141956	0.48867131972326	0.379590970493024	0.290144222666384	0.404876586654717	0.462235486668371	0.326591631654864	0.343989517956742	0.217961661375387	1.52129367910878	0.610075335424066	0.374112581450336	0	0.543488991278375	0.580167640531605	0.495436234104418	0.535537476589647
PT8	1.04440327772296	0.763213193966026	0.466692977028229	0.918611335722743	1.01501178013258	0.451397823130004	0.787536363084918	0.343115832310418	1.0471975511966	0.359074285156219	0.403200963775305	0.478938545917722	0.300864216584019	0.358885590529503	0.798765485859508	0.517443727886726	0.395668769152504	0.815765693351573	0.451184757764962	0.316114256524772	0.417518849831963	0.357169330294553	0.473055584327878	0.574334976760508	0.361387199158227	0.547860635482669	0.62992501551367	0.437870618932386	1.23178841965203	0.422914836603949	0.597561770365274	0.543488991278375	0	0.286392655885881	0.548139565713448	0.3702685981285
TD1	1.00532169782327	0.719459032141837	0.435629981206902	0.850787073750947	0.957017459195423	0.399132113386465	0.752016150013512	0.309028651003929	1.0471975511966	0.376170868503554	0.383410805816897	0.525076801256409	0.332838519755576	0.367416382186707	0.871259309307845	0.547579566633699	0.439863587076555	0.836851074564987	0.385326995908477	0.35369584160605	0.391743554536231	0.445105589544795	0.524671603994693	0.657545856891033	0.376156344745873	0.578429998094241	0.692201345788736	0.480270118722281	1.22260728107388	0.419534694062873	0.677650196039751	0.580167640531605	0.286392655885881	0	0.505543284878099	0.33219198241389
TD2	1.16233296417421	0.886403427066768	0.451220169685999	1.02900426327026	1.09885406032039	0.519066223201698	0.972463661069434	0.431667252490476	1.0471975511966	0.439437187887154	0.42393870298972	0.547858426715998	0.490231234350209	0.500658923634906	0.821175754140601	0.460525550030874	0.495856696652742	0.83929681724689	0.39236352265078	0.465589369152441	0.368785013126444	0.563180789097343	0.517090967215712	0.644574790309323	0.36928131425587	0.471758892507639	0.669544339633	0.45550090902873	1.34742524865823	0.469562805130319	0.670736501687237	0.495436234104418	0.548139565713448	0.505543284878099	0	0.395035266222044
TD3	1.02056682332279	0.737825034950001	0.343849974516079	0.869202140014659	0.951868236354244	0.418366604301558	0.824455445972548	0.302261756140502	1.0471975511966	0.394710219179749	0.282274002951075	0.479440240281123	0.344520343368534	0.328344498392284	0.833383374983204	0.555574771480423	0.463587654413043	0.838585006694298	0.350779876516164	0.330689733326028	0.316129309452406	0.470921829092606	0.479223427021197	0.645047185002005	0.355135642860581	0.518538704396765	0.671387211081661	0.466542444226043	1.18275634687973	0.314640042260657	0.656305979464761	0.535537476589647	0.3702685981285	0.33219198241389	0.395035266222044	0
