	Ld1	LN1	LN2	LN3	LN4	Normal1	OvH1	Per10	Per1a	Per1b	Per2a	Per2b	Per2c	Per3	Per4a	Per4b	Per5	Per6a	Per6b	Per6c	Per6d	Per7	Per8	Per9	PT1	PT10	PT11	PT12	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
Per9	0.275594774597929	0.238108419680848	0.405731604509567	0.427039260390394	0.28922577103713	1.0471975511966	0.40212408687527	0.422819730929443	0.766028268352828	0.274080347607325	0.33006579453104	0.304283779463374	0.636850614180236	0.358426032910793	0.328212886639045	0.274109205278584	0.336868959007396	0.332475871844837	0.669688676764366	0.415223171628069	0.446352082977301	0.870477152895301	0.274373905648475	0	0.327933181611146	0.284444837500778	0.278415751014639	0.285562135387003	0.300268453186065	0.330291300922927	0.524641027822091	0.362570078168696	0.267929521953307	0.250555308161269	0.264015923767608	0.291452555883015
PT1	0.289429820971942	0.339219721519844	0.549842713225138	0.480016170508057	0.290122331340773	1.0471975511966	0.410362765151013	0.453100958886606	0.881687803834009	0.317277506198886	0.362386829982057	0.204849594141565	0.589048407265123	0.288599173163798	0.312837009536324	0.297274558199025	0.337012057668082	0.386187072519232	0.615348991161354	0.331159533135284	0.483952335720267	0.840744918043047	0.383476505959622	0.327933181611146	0	0.245469623244473	0.27132298373292	0.257050338206743	0.0889413647427248	0.16568249937434	0.500104265343596	0.234823119378333	0.222730575589069	0.260419941364484	0.0900964607154032	0.189281756081546
PT10	0.183402236543821	0.25284198560352	0.507819663418326	0.463127933601155	0.240684271316339	1.0471975511966	0.443448266336039	0.405971162707613	0.809668736713336	0.21787860085078	0.263530268494646	0.286179536293721	0.611975541288202	0.325712414843557	0.254498802608474	0.18284962638862	0.322628409581744	0.313880840175395	0.641868935729943	0.362138181740668	0.435911494357483	0.844518000088073	0.251281656521573	0.284444837500778	0.245469623244473	0	0.169598417680786	0.205856438008798	0.19920222448929	0.201383382248119	0.389069345242126	0.280531731119781	0.185405101481925	0.271649092860319	0.209449806723615	0.154831314117778
PT11	0.268159293445306	0.306099743349427	0.551756438016426	0.362511408131261	0.302032276006873	1.0471975511966	0.495751239846327	0.367613013923735	0.812025840963679	0.256721825309884	0.353523771549704	0.289272862352637	0.694427110143475	0.374125421439875	0.311454080120259	0.258908943247326	0.371756811976067	0.390320557195844	0.72610572355678	0.416755094816911	0.466114115422467	0.927101882936082	0.259228919294839	0.278415751014639	0.27132298373292	0.169598417680786	0	0.212362109406345	0.222468742459318	0.274139582745919	0.494873665002517	0.36909471942084	0.234557097931738	0.266090931100293	0.240807483212778	0.179266364500877
PT12	0.214534095497608	0.303425649646324	0.505461632702213	0.493572667523353	0.262680896707343	1.0471975511966	0.421465857399786	0.455517285115422	0.721353650921404	0.295417946398915	0.335526986872307	0.272073641437089	0.66018271420996	0.29809141263999	0.241778342193343	0.213451844261412	0.335032519857278	0.378179580964153	0.663202175116114	0.377056682617968	0.437910752259778	0.91026320991994	0.301048330482369	0.285562135387003	0.257050338206743	0.205856438008798	0.212362109406345	0	0.203104477921076	0.228848780681217	0.502108194145183	0.307323517556443	0.189851607118807	0.237500264373487	0.207736382081597	0.212521460764794
PT2	0.242445864122136	0.310537300543088	0.535478974868704	0.471348920430547	0.26761474949604	1.0471975511966	0.388144610871231	0.43091851173981	0.817275372894713	0.29241865947267	0.333986249493495	0.19548869719565	0.593952876530793	0.275719093883593	0.286443788620712	0.25998741940846	0.316923246691791	0.359619412843955	0.60917949956633	0.334941048171991	0.452315565450369	0.842025623011499	0.349176579545616	0.300268453186065	0.0889413647427248	0.19920222448929	0.222468742459318	0.203104477921076	0	0.148235062681961	0.480043820552398	0.242110899395841	0.168692472704419	0.224680530173888	0.085542977178359	0.158628497330986
PT3	0.218899550196698	0.345442061011751	0.542902074412233	0.52116382301605	0.265867976493812	1.0471975511966	0.408522074146517	0.4738859327769	0.863381164939126	0.304212328282105	0.361343485758995	0.261048738125523	0.587886682591927	0.294527765213594	0.255904974190373	0.254543467633519	0.313743687446708	0.366283020293271	0.607876236310266	0.342172100926127	0.497706053389168	0.842095863798882	0.365575963058122	0.330291300922927	0.16568249937434	0.201383382248119	0.274139582745919	0.228848780681217	0.148235062681961	0	0.493227267302932	0.178092837739678	0.165650566799688	0.268435284915278	0.149391940482251	0.183150208565803
PT4	0.451926039937612	0.362456988287446	0.63049845018537	0.690390895809098	0.485889562006407	1.0471975511966	0.531733884377122	0.633768223624478	0.833815273998192	0.462509064697692	0.30823126275678	0.505777947022469	0.600187715212133	0.496563282090303	0.529905216635268	0.431490318990466	0.498785972599687	0.377415585804477	0.601794810818087	0.473286770087917	0.447828838689635	0.774197104760527	0.43766786701817	0.524641027822091	0.500104265343596	0.389069345242126	0.494873665002517	0.502108194145183	0.480043820552398	0.493227267302932	0	0.465279029154517	0.485364219381479	0.526190178306006	0.475555772328367	0.493480425775948
PT5	0.277260308919733	0.334396874412502	0.518523381664901	0.568746062022189	0.31541867387379	1.0471975511966	0.35746294278932	0.544998604580112	0.850315710809553	0.345597109930017	0.360292138220937	0.262049038795383	0.536312015262771	0.279049505183425	0.320581000733366	0.31490864984574	0.320410376402733	0.367958176227377	0.567678688410118	0.282813549236251	0.459633309734701	0.814484817484867	0.399517704042763	0.362570078168696	0.234823119378333	0.280531731119781	0.36909471942084	0.307323517556443	0.242110899395841	0.178092837739678	0.465279029154517	0	0.259586820755841	0.33661985998217	0.220915922030043	0.295407650247452
PT6	0.153376641078151	0.306221058311453	0.501346104348698	0.491062791889204	0.237256240408697	1.0471975511966	0.403453023348528	0.42331705436211	0.777478461021203	0.277545596026184	0.313587439428667	0.243359751257895	0.58160085025784	0.277849228658908	0.236498816759816	0.222018724618207	0.314357889706294	0.305705078039982	0.589368669726487	0.357871377364963	0.458041846951181	0.831704563329738	0.321301214992928	0.267929521953307	0.222730575589069	0.185405101481925	0.234557097931738	0.189851607118807	0.168692472704419	0.165650566799688	0.485364219381479	0.259586820755841	0	0.17078314497011	0.180027366330947	0.18895976592711
PT7	0.242673925184875	0.309772592284409	0.516380416427614	0.435137150221107	0.246241082658992	1.0471975511966	0.399993594088567	0.35890587838519	0.772966235759438	0.272187265941288	0.306947102002301	0.200628640943359	0.547954236528229	0.24632376779687	0.263548800136617	0.242950535187857	0.312582498040893	0.276530047846598	0.567415389216578	0.329452847782469	0.432073821478687	0.797680123122746	0.316049018385657	0.250555308161269	0.260419941364484	0.271649092860319	0.266090931100293	0.237500264373487	0.224680530173888	0.268435284915278	0.526190178306006	0.33661985998217	0.17078314497011	0	0.211589792990543	0.228955085878489
PT8	0.23568899246993	0.284086549674766	0.51083480576156	0.471429334992648	0.240880651363795	1.0471975511966	0.378785576259815	0.44618950243607	0.836063438430582	0.283918287235584	0.319405004462906	0.184389367512547	0.572131299012989	0.256359954806794	0.26588863797838	0.240775135015446	0.301135431440668	0.333421636758338	0.593709180690027	0.310691029009857	0.448267637005947	0.829808132025544	0.334374172109936	0.264015923767608	0.0900964607154032	0.209449806723615	0.240807483212778	0.207736382081597	0.085542977178359	0.149391940482251	0.475555772328367	0.220915922030043	0.180027366330947	0.211589792990543	0	0.164167382996665
PT9	0.207980801102985	0.291037744415789	0.535754298230152	0.433929119441066	0.193631839716985	1.0471975511966	0.440990458721287	0.368812822492987	0.839489110328001	0.2338506750246	0.304889227207666	0.231519537788469	0.579041319545079	0.287550505108592	0.203789645124607	0.185043134949568	0.305835553578209	0.335009221097541	0.613697744957813	0.342406993314396	0.457638354263705	0.812029947858507	0.306301682555249	0.291452555883015	0.189281756081546	0.154831314117778	0.179266364500877	0.212521460764794	0.158628497330986	0.183150208565803	0.493480425775948	0.295407650247452	0.18895976592711	0.228955085878489	0.164167382996665	0
