	LN1	LN2	LN3	Normal1	Per10a	Per10b	Per11	Per12	Per13	Per14	Per15	Per16	Per17	Per18	Per19	Per1a	Per1b	Per2	Per20	Per21	Per22	Per23	Per24	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PerOv1	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	TD1	TD2
Per22	0.321023490171222	0.684107704007752	0.798794616736072	1.0471975511966	0.30535785743806	0.251246744205924	0.181563598265396	0.334333935455492	0.272222496963122	0.3009754369811	0.171272854586964	0.203226359047462	0.336133949042854	0.227723060625583	0.198295033419695	0.316225178396141	0.393804720256046	0.293627874722694	0.171874913050903	0.16572566796751	0	0.329523341236306	0.286740354262098	0.400397420981415	0.379394595467166	0.173418867208821	0.15976514936281	0.244325892080995	0.301761795925125	0.216312136613523	0.558681384380601	0.30597299740556	0.330001956277725	0.269495612589967	0.271596762176369	0.299834952532192	0.27371165359855	0.255876582635817	0.415025369949782	0.53022244995252	0.328412959205473
Per23	0.413686751699487	0.578832490549773	0.866850419564954	1.0471975511966	0.368576717064291	0.342370260564573	0.389871877691871	0.45004201403831	0.408129543512748	0.537027631796756	0.365933318149432	0.359465221508551	0.382657305960066	0.331550441914937	0.400031537274806	0.497714250273817	0.512601849726865	0.442153890040542	0.375143694065963	0.289898731260697	0.329523341236306	0	0.354981631310769	0.510513156459936	0.316868823262674	0.397060719229691	0.339030679167709	0.366740686999219	0.386252804442143	0.344425154394718	0.664459854895839	0.375217149298037	0.439262511254413	0.363129560745159	0.36249152947931	0.366015309773278	0.38422819824204	0.365106553467067	0.464174548715809	0.56191996680848	0.436103930567071
Per24	0.458559388419339	0.70952702602022	0.807371580417787	1.0471975511966	0.273440557937056	0.204286063415312	0.298563467975742	0.458022791384974	0.306814660727025	0.460248349556596	0.301662236243806	0.211077613634203	0.392722447970304	0.233789654654529	0.331533798577472	0.433808573752396	0.421675552945149	0.351595963062451	0.277181124774996	0.264369713643802	0.286740354262098	0.354981631310769	0	0.412919432059479	0.38798135836391	0.315533985134553	0.345738404365429	0.308911017314843	0.376428431382588	0.268417179712276	0.59654464167648	0.301931080118094	0.317891806864682	0.280113200467294	0.263624333025746	0.346551893712578	0.318754335828813	0.260263991175913	0.429567514918137	0.489075719177787	0.35812081793664
Per3	0.408221694690351	0.804955288744589	0.799252390802115	1.0471975511966	0.372608608573751	0.389202643202966	0.366066493680591	0.481959050210507	0.361084431829543	0.462663289165757	0.309750089529876	0.349701959310494	0.473107798630062	0.339493883966788	0.379542450155178	0.33013611331668	0.298707387622555	0.301461722981864	0.396789247194861	0.404237786041691	0.400397420981415	0.510513156459936	0.412919432059479	0	0.427401062199467	0.41660587658197	0.410489016202484	0.472623405252218	0.439780271851703	0.331694383972498	0.630484586418549	0.325767465205166	0.277537268555204	0.325264723123101	0.367743841338717	0.284813552128763	0.309471494563587	0.245919503574155	0.305358017533775	0.546193569858003	0.315378951949701
Per4	0.420312942794893	0.570802482466882	0.836516204140906	1.0471975511966	0.330676475931727	0.35889398088075	0.440550484314966	0.435908640195349	0.339796778891948	0.531185012161653	0.365955449173278	0.353072407692328	0.443631548990295	0.377836922471841	0.389314107655156	0.419822924818373	0.454968308274781	0.339335873314141	0.416540678715062	0.33913365726187	0.379394595467166	0.316868823262674	0.38798135836391	0.427401062199467	0	0.401154558121654	0.400659244371362	0.433867303967139	0.427553700787009	0.40974220310457	0.686166879665076	0.345645380658603	0.35427287513422	0.278061076957767	0.262511059721302	0.293733538172323	0.286272476815924	0.347185174612084	0.423600400734346	0.406978293390461	0.36098859082425
Per5	0.369100829893779	0.753468825400598	0.766570505730464	1.0471975511966	0.292122670003341	0.262151175195189	0.22961321954483	0.328081033722903	0.274727746104508	0.303977342280844	0.21434752361014	0.194114606891918	0.339049080247424	0.27200799923595	0.20484052642643	0.352878522460322	0.405257668826347	0.296666811168795	0.218003548278644	0.209879881689054	0.173418867208821	0.397060719229691	0.315533985134553	0.41660587658197	0.401154558121654	0	0.217911116393112	0.225080400528873	0.30014662004415	0.265455766097594	0.540206827544424	0.329560130325995	0.341791586299276	0.301988206663194	0.290863304715687	0.322891703285998	0.289031799346854	0.284280106672973	0.434560837039777	0.4851812697901	0.356924330836623
Per6	0.329041045618545	0.713748451099987	0.867865092293396	1.0471975511966	0.349376907962475	0.310762674439814	0.255706121441655	0.342570414936616	0.317710496060512	0.30013970120429	0.192435115560758	0.266635884659155	0.381145290087434	0.259299425017346	0.232224382521911	0.323707853050622	0.439811517632841	0.33356986830573	0.186151044311428	0.156214444176549	0.15976514936281	0.339030679167709	0.345738404365429	0.410489016202484	0.400659244371362	0.217911116393112	0	0.298396248500067	0.365583771158199	0.257028707038554	0.596620152236918	0.349254507966856	0.378783631453926	0.31504172482755	0.343842706617434	0.323929216802307	0.316409596369447	0.298636586706617	0.443622162891489	0.539421023847083	0.377791560587959
Per7	0.421469434492077	0.728196844059285	0.825761354335246	1.0471975511966	0.326683361163111	0.273418391339755	0.230431289444542	0.44842985832002	0.347313462481583	0.415309033695819	0.296601124507108	0.26863406200373	0.344148328412137	0.302941870065873	0.315898146096518	0.449672743570233	0.444769754427888	0.340830742895513	0.267313340290474	0.263715807707221	0.244325892080995	0.366740686999219	0.308911017314843	0.472623405252218	0.433867303967139	0.225080400528873	0.298396248500067	0	0.349214852668151	0.269741414648647	0.60102544833347	0.384900530540375	0.41950546513275	0.362355680079305	0.329099964186946	0.405721003504627	0.375037747170151	0.345344820161598	0.467849627974656	0.536106965293967	0.374844325957619
Per8	0.390716681977305	0.733959576601456	0.619510686415376	1.0471975511966	0.375523681646744	0.361603763540772	0.293595775459441	0.430126828678746	0.348531899420048	0.483635179673397	0.306211274346412	0.313493207639013	0.270789669284336	0.336559300293304	0.343937760809822	0.498651532290751	0.4300088101997	0.375920644863483	0.376433363466438	0.351243082926852	0.301761795925125	0.386252804442143	0.376428431382588	0.439780271851703	0.427553700787009	0.30014662004415	0.365583771158199	0.349214852668151	0	0.312200551469382	0.511624913419596	0.320244822374891	0.32827388237299	0.34778832463328	0.348271440323083	0.290508942803254	0.290196905072631	0.286377142401941	0.339330732705856	0.559159196758502	0.449370337869772
Per9	0.307143867979975	0.708761094603481	0.783911486455719	1.0471975511966	0.281076055940533	0.216918667937504	0.205514203110723	0.38381345617527	0.245535483134801	0.402752364172598	0.210204446053005	0.215400128325313	0.314286433456238	0.161105092633882	0.284955000766191	0.359098122779373	0.343958603492096	0.267208456549765	0.219167181664174	0.217904996640756	0.216312136613523	0.344425154394718	0.268417179712276	0.331694383972498	0.40974220310457	0.265455766097594	0.257028707038554	0.269741414648647	0.312200551469382	0	0.563975615431855	0.252805184298567	0.29562020317734	0.243200485304065	0.28186888243819	0.267719262589797	0.254062380490122	0.191397024022004	0.30672309541972	0.541492372921564	0.344400960526625
