	Liv1	Liv2a	Liv2b	Liv2c	Liv3a	Liv3b	Liv3c	Liv3d	LN1a	LN1b	Normal1	OvH1a	OvH1b	OvH1c	OvH1d	Per1	Per10	Per2	Per3	Per4	Per5	Per6	Per7	Per8	Per9	PerOv1	PT1	PT10	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9
PerOv1	0.293437453578059	0.278341144736428	0.277141281826115	0.274230970882093	0.282705686909033	0.284048404486758	0.286347433876876	0.315907878488424	0.326488815150117	0.339205618234535	1.0471975511966	0.286796889474461	0.260568968434001	0.590805382976601	0.339101426761299	0.236614013373849	0.2287102354743	0.175229141272891	0.339784365953563	0.517927506070985	0.178777772502643	0.378178478016548	0.23806150404946	0.167201843379392	0.278787123307907	0	0.307615748979793	0.477427119857816	0.393159192638598	0.184923276046304	0.279315130714547	0.223738066698113	0.356243211660842	0.228194400571356	0.335535502322793	0.198647999312057
PT1	0.369752220164013	0.345750064579929	0.334232693245142	0.365171322850063	0.408823285720966	0.340625503107051	0.309247644668489	0.420693014810305	0.384957243683914	0.350696050389215	1.0471975511966	0.288841570772122	0.277056506418602	0.461342465417602	0.354796678132884	0.355715641713221	0.361943005410624	0.332824628997344	0.286390807125177	0.45360251974329	0.288091805983633	0.604445639319141	0.312068530008109	0.347487437362457	0.43488831147834	0.307615748979793	0	0.430803613257061	0.389616875771615	0.194998674012442	0.331831918777922	0.258249930756152	0.340158176007056	0.273379316700017	0.347894720063675	0.258172809535247
PT10	0.429862914404086	0.468372667309173	0.39915291373657	0.44634228425324	0.529427422275662	0.401357108642875	0.370641165158715	0.476680376335319	0.583685477245007	0.593438703229249	1.0471975511966	0.37256570355736	0.412660855683621	0.428530256202589	0.310619577066749	0.560064364439006	0.479755969537253	0.508938750559548	0.386317702794073	0.276400917704778	0.417301625989906	0.668174216424468	0.397041408934199	0.519770309415199	0.494988115277986	0.477427119857816	0.430803613257061	0	0.227858485057455	0.422639195301075	0.373701803091805	0.343841187877906	0.303992568452862	0.334557068657533	0.27962401370288	0.376525374714352
PT2	0.261382726286714	0.3119800409715	0.257250017126956	0.279227094485077	0.37433234896217	0.253060771660283	0.234349390629893	0.311941968884416	0.516798984620815	0.526634931073097	1.0471975511966	0.290501074448237	0.319580779091401	0.44797165687117	0.201422257383356	0.478051191889834	0.387882896460195	0.461298831668436	0.390871719586685	0.379373098571045	0.357032566082628	0.553728552440581	0.340404869080082	0.459165735673612	0.397427358260708	0.393159192638598	0.389616875771615	0.227858485057455	0	0.35147739598498	0.278725058831681	0.287058746687459	0.226872517169894	0.256582583397262	0.195170999521951	0.319879217049016
PT3	0.287994879289385	0.245260032596145	0.240589662592347	0.265438192084863	0.300261412296763	0.2579046296225	0.230038837824832	0.325787104379707	0.342464694291449	0.337540422440665	1.0471975511966	0.266114471337776	0.241000390211511	0.520547466436126	0.313748981621474	0.312976326223551	0.27233966191579	0.24722869663642	0.322463039735025	0.472499311156674	0.199956474440388	0.500517639290644	0.260006224617644	0.24317941719727	0.345959735693516	0.184923276046304	0.194998674012442	0.422639195301075	0.35147739598498	0	0.268229440902108	0.165701442896765	0.295656507539286	0.183396594746536	0.311835763622046	0.163937764592465
PT4	0.208675389088631	0.256129379938788	0.219106403987409	0.230741964766631	0.268730156768721	0.20856827801099	0.206079493889092	0.270480284345951	0.299663824171307	0.3236438313549	1.0471975511966	0.222378388733712	0.228544460372832	0.497591971012998	0.246583738947793	0.290208958454462	0.21002425567332	0.319655315646918	0.315872688109942	0.393187183297711	0.23873755194662	0.464062301041109	0.205954770149919	0.325697952966778	0.245852814067623	0.279315130714547	0.331831918777922	0.373701803091805	0.278725058831681	0.268229440902108	0	0.241520357058894	0.242971470300724	0.181247380719392	0.235864617243404	0.237669730753783
PT5	0.289197267309332	0.273116978680397	0.235206079009304	0.273522009282157	0.312814393602639	0.2473953223653	0.217002815530055	0.310251112814532	0.401678738231965	0.391151511708748	1.0471975511966	0.275813348686018	0.279183136697539	0.52371320541397	0.24427996984663	0.357183015109359	0.271411388748468	0.257738763326168	0.31060509868189	0.418389837317033	0.197064074312315	0.466462202195765	0.262449831522504	0.274540896561159	0.336933446001234	0.223738066698113	0.258249930756152	0.343841187877906	0.287058746687459	0.165701442896765	0.241520357058894	0	0.229295230199007	0.150871385257479	0.236141825841525	0.142722482877979
PT6	0.274824106695808	0.30882783838212	0.2799178058025	0.285547389759825	0.354176904421092	0.240262324390405	0.203219436839176	0.333475130546862	0.425464338657057	0.433355518060987	1.0471975511966	0.276155661966661	0.296890042012277	0.420289805109205	0.227785161691998	0.402067424786841	0.322811227367134	0.414992934888243	0.35434467416484	0.343282105259807	0.30443713546142	0.513802134161648	0.298291770664076	0.418879360459104	0.348011886373686	0.356243211660842	0.340158176007056	0.303992568452862	0.226872517169894	0.295656507539286	0.242971470300724	0.229295230199007	0	0.225728628026295	0.199468721522321	0.290833022385845
PT7	0.23651442159254	0.23633643443105	0.196531582123729	0.24116228050967	0.279662188800304	0.204523205874251	0.177958765665418	0.272878182494887	0.358620569568222	0.367672855255236	1.0471975511966	0.227408306567976	0.232865080705737	0.484768849171073	0.223805545642283	0.323443464010796	0.251755120734166	0.271294265080713	0.271882253689136	0.399045233436963	0.214855292281542	0.458210436767546	0.215255687429004	0.28699284897085	0.286090482502371	0.228194400571356	0.273379316700017	0.334557068657533	0.256582583397262	0.183396594746536	0.181247380719392	0.150871385257479	0.225728628026295	0	0.230371639619262	0.14267049102902
PT8	0.281118366333843	0.337814173714273	0.293347403420347	0.301727247061683	0.375303223607265	0.277834708086137	0.257886007111541	0.348106960154599	0.455157824740138	0.478083203370375	1.0471975511966	0.281902055045651	0.292586194142913	0.468463897283883	0.220509806572349	0.421119470277641	0.331901752499415	0.398629142723654	0.359564132604254	0.362709805763796	0.273021983211891	0.488467867422994	0.295028610418315	0.375684414103191	0.347643768879289	0.335535502322793	0.347894720063675	0.27962401370288	0.195170999521951	0.311835763622046	0.235864617243404	0.236141825841525	0.199468721522321	0.230371639619262	0	0.281483359438315
PT9	0.296625018588129	0.290523186752059	0.245952746720685	0.288500770043821	0.311769787691957	0.269828348933271	0.245491798146345	0.306859171929738	0.382290933750832	0.381543769264317	1.0471975511966	0.277726808191041	0.267383115709794	0.557558804467451	0.276923096722966	0.34114914586699	0.255867475897237	0.21570663935703	0.309139187308572	0.452080620893541	0.177503189981675	0.435751887156161	0.246824134011932	0.225354165427377	0.323156004759093	0.198647999312057	0.258172809535247	0.376525374714352	0.319879217049016	0.163937764592465	0.237669730753783	0.142722482877979	0.290833022385845	0.14267049102902	0.281483359438315	0
