	LN1	LN2	LN3	LN4a	LN4b	LN5	LN6	Normal1	Per1	Per10a	Per10b	Per2	Per3	Per4a	Per4b	Per4c	Per5	Per6a	Per6b	Per6c	Per6d	Per7	Per8	Per9	PTa1	PTa2	PTa3	PTa4	PTa5	PTa6	PTb1	PTb2	PTb3	PTb4	PTb5	PTb6	PTb7	TD1	TD2	TD3	TD4	TD5	TD6
PTa2	0.694555175705888	0.38950685610099	0.525763381863415	0.457991443697242	0.488493117320145	0.693160618640595	0.518775048873372	1.0471975511966	0.454083746585767	0.939093359147437	0.390532398623901	0.436791977485159	0.6907558350059	0.400547388309723	0.466111811828175	0.425678637135783	0.31533368990206	0.44378115044944	0.470344275906729	0.524418229536951	0.445287857870068	0.410062630279461	0.468497262666345	0.481183205501133	0.443781839733755	0	0.324409550717797	0.465205785168234	0.501508643907061	0.343513142372187	1.00163786080207	0.543647788095459	0.375550319506992	0.922229858357514	0.463876974341747	0.471052363543194	0.450544179650056	0.485759452272939	0.44957770629709	0.491517616300638	0.453754166501706	0.654977306248305	0.418848917352585
PTa3	0.67315170970571	0.343324379240942	0.437766613140482	0.379799303657502	0.440454663604505	0.696635086383109	0.433532660121554	1.0471975511966	0.368411598623088	0.981471991022061	0.429252863955235	0.366941331916378	0.660119701989491	0.412008771523534	0.476455441963001	0.395589193838898	0.368017734983782	0.429896819916645	0.398035884638719	0.479866623841708	0.396171290712298	0.473887542258096	0.499292706594738	0.491228073888607	0.408497737332231	0.324409550717797	0	0.436631033602733	0.477379724302659	0.339405418489234	1.03431518842551	0.533248149659202	0.344989016147085	0.924042444236964	0.506579496577896	0.414641844837147	0.440914823885932	0.53469966468161	0.463979571663374	0.478921838978339	0.436272189030101	0.660432375749194	0.486722994601953
PTa4	0.79064193150476	0.538058956339624	0.600470379852099	0.528738717207654	0.525903773003842	0.857012862375234	0.615361851992089	1.0471975511966	0.536343454446098	1.10380804232023	0.599032162176506	0.556670496931848	0.78418112869427	0.491549227033505	0.512569358922663	0.451686457900456	0.463366508756567	0.499635171414011	0.580142066522035	0.63810444074202	0.473384283158375	0.533518424697896	0.657255201268306	0.677931554649726	0.607850098800544	0.465205785168234	0.436631033602733	0	0.619140943504268	0.486749074934784	1.056603933469	0.619303082717247	0.47932014035406	1.04322787116589	0.57350485743063	0.562485885368574	0.608218081094452	0.548496611920635	0.633071017897207	0.50497456911935	0.488968077654284	0.691389520667831	0.619400320266212
PTa5	0.512473401844467	0.32301501226458	0.391246190584594	0.435069241612246	0.388558259004103	0.580990563272524	0.479013829880623	1.0471975511966	0.426735048688187	0.900547119961841	0.605466800465665	0.339593102345025	0.493495413076651	0.461412724594872	0.506852472279779	0.494039883891611	0.366461612279547	0.536237248998841	0.454438417062711	0.38288910478639	0.375611051758185	0.442513974669549	0.366660271955914	0.35053804202375	0.327122761766609	0.501508643907061	0.477379724302659	0.619140943504268	0	0.291250708549656	0.806150495859265	0.438265138018083	0.421549800663398	0.872663375692617	0.505650621507895	0.332345153472939	0.412766558879471	0.56502372470226	0.325229045583653	0.488809741520522	0.490572744620033	0.542062801031892	0.612114105927474
PTa6	0.464576106967386	0.187332238574552	0.322316256156271	0.343682066958658	0.311808487411981	0.542417310620215	0.429757957799346	1.0471975511966	0.331636617658482	0.930475776083136	0.492033646031374	0.229199452425135	0.498434292412693	0.359344323801304	0.412937302612576	0.399186869319364	0.318762116862148	0.436086893403644	0.325087335774094	0.301068541881044	0.374202395900991	0.349311261697072	0.308610121805616	0.358008832590169	0.232570996599185	0.343513142372187	0.339405418489234	0.486749074934784	0.291250708549656	0	0.807573219358397	0.363420078576666	0.280520439715708	0.863453036487599	0.48243111051172	0.280556445379604	0.300257743463459	0.467703440567235	0.30427053861851	0.408444550551439	0.401921176952507	0.487615390490462	0.470474568516932
PTb1	0.496254054791529	0.733370580477421	0.717354275412404	0.879000123430574	0.81367501608433	0.855719707261724	1.00820121284936	1.0471975511966	0.883378980989287	1.2455460235602	0.986718242316402	0.744747217550334	0.756679635635422	0.808339880848503	0.867939864354577	0.931283265465792	0.912050465581081	0.855222090139969	0.925384695268546	0.613094510939857	0.974208302625243	0.789511963429034	0.687268673670839	0.839564485967534	0.69676186488625	1.00163786080207	1.03431518842551	1.056603933469	0.806150495859265	0.807573219358397	0	0.640300128473591	0.805632316412681	1.01891436326355	0.973209286887865	0.73182084886451	0.698660160524832	1.01497381449689	0.847917990468621	0.800921481698483	0.844721184338537	0.653026220891354	1.20463222855671
PTb2	0.484952480994624	0.2975851957574	0.28749074773191	0.400463332464621	0.361870958159829	0.681809538602813	0.52401069662728	1.0471975511966	0.389501173664427	1.08132612203194	0.544793221499655	0.282657692933372	0.574166195453608	0.40524425183386	0.476837876609132	0.504637097932007	0.475154629765704	0.483477655307822	0.49353732467392	0.283490882446628	0.530712065906747	0.364220028000134	0.380303473488305	0.493057652284532	0.298391070753795	0.543647788095459	0.533248149659202	0.619303082717247	0.438265138018083	0.363420078576666	0.640300128473591	0	0.271576454529637	0.920674073796775	0.550198583655923	0.302008273227521	0.297269245778732	0.602318974446761	0.508875360045985	0.4216674460154	0.450266799436514	0.450188607049079	0.756429822836909
PTb3	0.566592081490457	0.228736704119691	0.319975583118111	0.344694158398189	0.358560848547824	0.716050052919021	0.466721525455914	1.0471975511966	0.334892444038244	0.997148999914286	0.38924773531255	0.272839837413249	0.58691003751541	0.338568238467878	0.433195466774532	0.40041620789635	0.356608487607775	0.372234547612762	0.4221139885532	0.331881762121652	0.418830786141781	0.368958091619478	0.411133127105763	0.445023778786835	0.294007999343463	0.375550319506992	0.344989016147085	0.47932014035406	0.421549800663398	0.280520439715708	0.805632316412681	0.271576454529637	0	0.965789394177081	0.451782189505468	0.269636729941274	0.29467173197879	0.543851344123726	0.44661312082012	0.376791090226957	0.371147193576526	0.4907483866967	0.621198701066517
PTb4	0.749163731921612	0.848530796830686	0.823762499128796	0.873373936215936	0.874478256553445	0.559689455272582	0.873552198594559	1.0471975511966	0.874131637861587	1.02524611509271	1.02651051047335	0.823169863565648	0.884426041846372	0.998313176032373	1.05221807490412	1.06099155694301	0.897722770393707	1.06245362833913	0.919157921501796	0.822997078248676	0.969681299556895	1.01218163899606	0.745558757283346	0.788662451456854	0.828499194404453	0.922229858357514	0.924042444236964	1.04322787116589	0.872663375692617	0.863453036487599	1.01891436326355	0.920674073796775	0.965789394177081	0	1.07201915109609	0.870258609320275	0.895018236421778	0.945941386168482	0.800330994140141	1.00343487436257	1.02834663029579	1.06727622885909	0.970507585871689
PTb5	0.781602228997734	0.471903934228921	0.540653192025389	0.541086990528163	0.529624789738823	0.879395515215044	0.550126607376145	1.0471975511966	0.516964683574948	1.10477356511703	0.473077394932915	0.505763253417701	0.686798268330831	0.541052902248562	0.579550132053894	0.507813144665649	0.398869530422313	0.561780082966667	0.490422016459118	0.583253975557524	0.435944083704345	0.465493839697808	0.546519840546798	0.635663684601846	0.501750443839792	0.463876974341747	0.506579496577896	0.57350485743063	0.505650621507895	0.48243111051172	0.973209286887865	0.550198583655923	0.451782189505468	1.07201915109609	0	0.506291011713877	0.518699855486403	0.460075712668348	0.592019896264165	0.577650161558683	0.538837671324347	0.583653636562736	0.603422057561083
